"time","h2","href"
0,0,6
0.1,0.05056619655017869,6
0.2,0.13397257811898733,6
0.3,0.2349811478670576,6
0.4,0.3485525958809612,6
0.5,0.47190661558421176,6
0.6,0.6032390641877372,6
0.7,0.7412685217782471,6
0.8,0.8850324748865201,6
0.9,1.033780377514124,6
1,1.1869077078468262,6
1.1,1.3439170434694665,6
1.2,1.5043921537701186,6
1.3,1.6679780150265469,6
1.4,1.8343690002698514,6
1.5,2.003299132398782,6
1.6,2.17453543312211,6
1.7,2.3478720568918776,6
1.8,2.5231256421101214,6
1.9,2.7001318221600887,6
2,2.87874260971917,6
2.1,3.0588242314700045,6
2.2,3.240255224886446,6
2.3,3.4229248293351926,6
2.4,3.6067316864058863,6
2.5,3.791582776158402,6
2.6,3.977392503680645,6
2.7,4.164081918705324,6
2.8,4.351506023459567,6
2.9,4.539217057950577,6
3,4.72671025596166,6
3.1,4.913506867231722,6
3.2,5.099152113689154,6
3.3,5.283212202462692,6
3.4,5.465272886309266,6
3.5,5.644937724563998,6
3.6,5.821825305682794,6
3.7,5.995568538625575,6
3.8,6.165813255319575,6
3.9,6.332217663906827,6
4,6.4944516251657705,6
4.1,6.6521960285406925,6
4.2,6.805142177418016,6
4.3,6.952991634949856,6
4.4,7.0954558170727,6
4.5,7.232256074408308,6
4.6,7.363123435520563,6
4.7,7.487798347280472,6
4.8,7.606030978464517,6
4.9,7.7175814709190265,6
5,7.822219998031926,6
5.1,7.9197275144634025,6
5.2,8.00989601180747,6
5.3,8.092544690701041,6
5.4,8.16772503404003,6
5.5,8.235652578631818,6
5.6,8.296541837130064,6
5.7,8.350602304961624,6
5.8,8.398038966835545,6
5.9,8.439051751077352,6
6,8.473835998853918,6
6.1,8.502583135807857,6
6.2,8.525481096332912,6
6.3,8.542714330805294,6
6.4,8.554464128998575,6
6.5,8.560908278510034,6
6.6,8.562221483203027,6
6.7,8.558575374220153,6
6.8,8.550138693564003,6
6.9,8.537077399721458,6
7,8.51955461447373,6
7.1,8.49773087230482,6
7.2,8.471764057362826,6
7.3,8.441809565233859,6
7.4,8.408020354657069,6
7.5,8.370546954191493,6
7.6,8.329537125607814,6
7.7,8.285136562850388,6
7.8,8.237488185918743,6
7.9,8.18673236550394,6
8,8.133007181034014,6
8.1,8.076448057029715,6
8.2,8.017187976811432,6
8.3,7.955357505051002,6
8.4,7.891084831688671,6
8.5,7.824495598321092,6
8.6,7.755712931922962,6
8.7,7.684857597315401,6
8.8,7.612047624665884,6
8.9,7.537398071028752,6
9,7.461021700674806,6
9.1,7.383028448842881,6
9.2,7.3035254651237285,6
9.3,7.222617205952231,6
9.4,7.140405634901924,6
9.5,7.0569897160089745,6
9.6,6.972465808352916,6
9.7,6.886927507549893,6
9.8,6.800465642018862,6
9.9,6.713168256685458,6
10,6.6251206424148,6
10.1,6.536405277178157,6
10.2,6.447101833401456,6
10.3,6.357287184001055,6
10.4,6.267035482449128,6
10.5,6.176418263586443,6
10.6,6.085599952286339,6
10.7,5.9951863502067875,6
10.8,5.905897052896912,6
10.9,5.818401580045141,6
11,5.7333132643543845,6
11.1,5.651179603350455,6
11.2,5.572477110266474,6
11.3,5.497609580582851,6
11.4,5.426909041014303,6
11.5,5.3606387358831995,6
11.6,5.298997951303099,6
11.7,5.242127333375093,6
11.8,5.190114747592935,6
11.9,5.143001065239402,6
12,5.100785985118293,6
12.1,5.063433485858295,6
12.2,5.0308768959671095,6
12.3,5.0030238532756215,6
12.4,4.979760043034844,6
12.5,4.960952527765681,6
12.6,4.946453034567222,6
12.7,4.93610080330034,6
12.8,4.929725552057926,6
12.9,4.927149883551919,6
13,4.928190706211855,6
13.1,4.932660743213753,6
13.2,4.940369200388267,6
13.3,4.951123511662277,6
13.4,4.964731173258597,6
13.5,4.981000661679545,6
13.6,4.999742214355507,6
13.7,5.020767297184003,6
13.8,5.043888721383077,6
13.9,5.068922013172249,6
14,5.095686352803671,6
14.1,5.124005979744462,6
14.2,5.153709710191979,6
14.3,5.184628871128424,6
14.4,5.216598974483459,6
14.5,5.2494597887497445,6
14.6,5.283057256819745,6
14.7,5.317242311931424,6
14.8,5.351870274691375,6
14.9,5.386801437799488,6
15,5.421900955792898,6
15.1,5.457039743497264,6
15.2,5.492094556346104,6
15.3,5.526947456683876,6
15.4,5.561485937018946,6
15.5,5.5956025049339555,6
15.6,5.629194972211687,6
15.7,5.662166898378169,6
15.8,5.694427899926777,6
15.9,5.725893764950349,6
16,5.756485846104503,6
16.1,5.786130069526863,6
16.2,5.814758042741127,6
16.3,5.842307423472188,6
16.4,5.868722745907071,6
16.5,5.893954135611022,6
16.6,5.917956236609602,6
16.7,5.94068937589352,6
16.8,5.962119642236631,6
16.9,5.9822202690639115,6
17,6.000969574362804,6
17.1,6.018351373298748,6
17.2,6.034354442911483,6
17.3,6.048972522224908,6
17.4,6.062205302636033,6
17.5,6.074058639553212,6
17.6,6.084543725152047,6
17.7,6.093676597466922,6
17.8,6.101476819866338,6
17.9,6.10796816083795,6
18,6.113180290452136,6
18.1,6.117147607677293,6
18.2,6.119909057295103,6
18.3,6.121506122007701,6
18.4,6.121983820581547,6
18.5,6.121390882553573,6
18.6,6.119779268021985,6
18.7,6.117204099993736,6
18.8,6.1137228434130195,6
18.9,6.10939462422598,6
19,6.104280085164108,6
19.1,6.098441181758769,6
19.2,6.09194163330333,6
19.3,6.0848465754016905,6
19.4,6.077221402658863,6
19.5,6.069131118862845,6
19.6,6.060639592308844,6
