"time","h1","h2","h1_ss","h2_ss"
0,8,4,8,4
0.06,8.440677184372106,4.003262366719711,8,4
0.12,8.843429054891418,4.012355396808096,8,4
0.18,9.211512577234393,4.02637911225068,8,4
0.24,9.547919744243442,4.044590705712606,8,4
0.3,9.85542143382114,4.066364738754848,8,4
0.36,10.13657803495232,4.091170737567881,8,4
0.42,10.393751418826747,4.11855389213579,8,4
0.48,10.629108209742656,4.148122976633555,8,4
0.54,10.844626925549063,4.179538772009395,8,4
0.6,11.042105261177374,4.212506155314689,8,4
0.66,11.223168157465434,4.246767955470499,8,4
0.72,11.389281182775306,4.282098004399997,8,4
0.78,11.541758180281025,4.318298930017843,8,4
0.84,11.681779195838232,4.355195014854256,8,4
0.9,11.810396631505853,4.3926328689193594,8,4
0.96,11.928551722360067,4.4304760015475075,8,4
1.02,12.037086184035251,4.468602712291554,8,4
1.08,12.1367533741671,4.506904145262396,8,4
1.14,12.228223358669311,4.545285804968742,8,4
1.2,12.31210207937668,4.583660173931546,8,4
1.26,12.388933410576954,4.6219495009766725,8,4
1.32,12.45920615410274,4.660085158197885,8,4
1.38,12.52336223566244,4.698005683965158,8,4
1.44,12.581804009413158,4.735655213859683,8,4
1.5,12.634899462676241,4.772983106229332,8,4
1.56,12.682985111611423,4.809944208202063,8,4
1.62,12.726369404884979,4.846498352452956,8,4
1.68,12.76533822840693,4.882609035755963,8,4
1.74,12.800159282784444,4.918242771671093,8,4
1.8,12.831077778381001,4.953370910563846,8,4
1.86,12.858324886829964,4.987967259692428,8,4
1.92,12.882118441022259,5.022008266559769,8,4
1.98,12.902662525303557,5.0554732406990555,8,4
2.04,12.920149979868048,5.088343913056568,8,4
2.1,12.934763161674937,5.120604348236046,8,4
2.16,12.946675922518596,5.152240609298088,8,4
2.22,12.956053859318645,5.18324064274499,8,4
2.28,12.96305432617414,5.21359424231024,8,4
2.34,12.967827000459279,5.243292955525357,8,4
2.4,12.970514441783568,5.272329983527224,8,4
2.46,12.971253298947516,5.300699971630248,8,4
2.52,12.970173691588878,5.328399025400448,8,4
2.58,12.967400437407653,5.355424528465449,8,4
2.64,12.963053301617364,5.381775055943879,8,4
2.7,12.95724673950027,5.407450342163809,8,4
2.76,12.950089671533192,5.43245125283194,8,4
2.82,12.941686963385028,5.4567795976946485,8,4
2.88,12.932138716704703,5.480438143684236,8,4
2.94,12.921539993107736,5.503430644538367,8,4
3,12.909981860531877,5.525761636396255,8,4
3.06,12.897551583501965,5.54743637303256,8,4
3.12,12.884331967180394,5.568460941036174,8,4
3.18,12.870401953935774,5.588842115403406,8,4
3.24,12.855836916519685,5.6085871566930035,8,4
3.3,12.840708501773848,5.627703967781729,8,4
3.36,12.82508473270882,5.64620113824213,8,4
3.42,12.809030081005641,5.664087572205365,8,4
3.48,12.792605453789148,5.68137253734851,8,4
3.54,12.775869035044353,5.698066037521787,8,4
3.6,12.758875607534616,5.71417833373091,8,4
3.66,12.741676041360503,5.729719707139111,8,4
