"time","h1","h2"
0,0,0
0.1,0.2,0
0.2,0.4,0
0.3,0.6,0
0.4,0.8,0
0.5,1,0
0.6,1.2,0
0.7,1.4,0
0.8,1.6,0
0.9,1.8,0
1,2,0
1.1,2.2,0
1.2,2.4,0
1.3,2.6,0
1.4,2.8,0
1.5,3,0
1.6,3.2,0
1.7,3.4,0
1.8,3.6,0
1.9,3.8,0
2,4,0
2.1,4.2,0
2.2,4.4,0
2.3,4.6,0
2.4,4.8,0
2.5,5,0
2.6,5.2,0
2.7,5.4,0
2.8,5.6,0
2.9,5.8,0
3,6,0
3.1,6.2,0
3.2,6.4,0
3.3,6.6,0
3.4,6.8,0
3.5,7,0
3.6,7.2,0
3.7,7.4,0
3.8,7.6,0
3.9,7.8,0
4,8,0
4.1,8.2,0
4.2,8.4,0
4.3,8.6,0
4.4,8.8,0
4.5,9,0
4.6,9.2,0
4.7,9.4,0
4.8,9.6,0
4.9,9.8,0
5,10,0
5.000000001000076,10.000000002000151,0
5.000000001000076,10.000000002000151,0
5.1,9.886950424865107,0.2773228340444853
5.2,9.779847221486806,0.5213160365177547
5.3,9.67827762506623,0.7433666641653436
5.4,9.58192384570165,0.947748240565137
5.5,9.490512524899339,1.1370393023295406
5.6,9.403798200427836,1.3130484710753665
5.7,9.321555218036048,1.4771538239387958
5.8,9.243573105865861,1.630461593294117
5.9,9.169653678458134,1.7738924879398699
6,9.099609119166846,1.9082318484072487
6.1,9.03326059981294,2.034162826829926
6.2,8.970437274194182,2.1522893402263517
6.3,8.910975555001068,2.2631512640821896
6.4,8.854718557318684,2.367235608918533
6.5,8.801515638693127,2.464985563373654
6.6,8.751222030634409,2.556807630308769
6.7,8.703698621751766,2.6430752696225173
6.8,8.658811698972393,2.7241336312780766
6.9,8.616432751317538,2.800302674602574
7,8.576438287951346,2.871880117840858
7.1,8.538709689815146,2.9391436818398833
7.2,8.503133078740321,3.002352907770572
7.3,8.469599194523274,3.061750704471324
7.4,8.438003274844116,3.1175647202052654
7.5,8.40824493730478,3.1700085854791604
7.6,8.380228065745948,3.2192828935587134
7.7,8.353860698706702,3.2655760770465867
7.8,8.32905491497569,3.3090655105756945
7.9,8.305726722193702,3.3499184754894555
8,8.283795950183418,3.388292266147863
8.1,8.263186145523516,3.424334429432039
8.2,8.24382444374048,3.4581845112006637
8.3,8.225641461607319,3.489973804183318
8.4,8.208571181221929,3.5198259056728114
8.5,8.19255082476504,3.5478569649454754
8.6,8.177520749193723,3.5741766178122334
8.7,8.163424317557473,3.598888022662023
8.8,8.150207793723954,3.622088344922337
8.9,8.137820221107448,3.6438689952624923
9,8.126213314201332,3.6643161164284344
9.1,8.115341346573718,3.6835107284601385
9.2,8.105161039943528,3.701529121311701
9.3,8.095631459202528,3.718443015003961
9.4,8.086713904155706,3.734319922111271
9.5,8.078371808585782,3.7492233006943105
9.6,8.070570638454807,3.7632128443248147
9.7,8.06327779475847,3.7763446574543478
9.8,8.056462519353518,3.7886714909511907
9.9,8.050095802601126,3.800242918581734
10,8.044150296938227,3.8111055274489085
10.1,8.038600229749285,3.821303088559984
10.2,8.033421324664106,3.8308767188978927
10.3,8.028590719267653,3.8398650393696667
10.4,8.024086894727041,3.848304313736168
10.5,8.019889597447293,3.8562285969065973
10.6,8.015979777605743,3.8636698522517645
10.7,8.012339514131039,3.8706580926774645
10.8,8.008951962362564,3.8772214761152695
10.9,8.005801282077597,3.883386440918469
11,8.00287259388974,3.8891777813060737
11.1,8.000151910343769,3.894618776608007
11.2,7.997626100296673,3.8997312498450976
11.3,7.995282823148681,3.9045356900229544
11.4,7.99311050034674,3.9090512972666493
11.5,7.991098252770593,3.913296097690058
11.6,7.989235878597018,3.9172869775470924
11.7,7.987513793772461,3.92103979090829
11.8,7.985923030255637,3.924569356041148
11.9,7.984455170918725,3.9278895729587333
12,7.983102315344846,3.9310134820731406
12.1,7.981857047557054,3.9339533190143228
12.2,7.980712409678989,3.9367205677859283
12.3,7.979661843650365,3.939326051062099
12.4,7.978699165213984,3.941779981399489
12.5,7.977818625367952,3.944091840225498
12.6,7.977015034320094,3.9462701396168005
12.7,7.976283235152293,3.948323404990416
12.8,7.975618471575158,3.9502594797831487
12.9,7.975016375888354,3.9520855624075177
13,7.974472788544863,3.9538085145410737
13.1,7.973983763587953,3.955434851257264
13.2,7.973545629412954,3.9569706339154043
13.3,7.973155143182103,3.9584211919605106
13.4,7.972809016320315,3.959791964697111
13.5,7.972504230886163,3.961087936386231
13.6,7.972238027392512,3.962313666672664
13.7,7.972007815642495,3.96347343856062
13.8,7.971811090147203,3.9645713987915507
13.9,7.971645519573775,3.965611409403062
14,7.971509064235763,3.966596845858001
14.1,7.9713996460888525,3.9675311580381143
14.2,7.971315356488601,3.9684175161200463
14.3,7.971254442778091,3.9692588338399237
14.4,7.971215300326397,3.9700577815557
14.5,7.971196336923642,3.9708170140654415
14.6,7.97119607996114,3.9715389899475317
14.7,7.971213239668806,3.972225863814628
14.8,7.971246524881472,3.972879797621421
14.9,7.971294730573779,3.9735028121176486
15,7.971356746044897,3.974096773257459
15.1,7.971431576646948,3.974663356180206
15.2,7.971518222765145,3.975204245897594
15.3,7.971615764898272,3.9757209959114577
15.4,7.97172338050809,3.976215001080444
15.5,7.9718402783727536,3.9766876051340403
15.6,7.971965702027554,3.97714009499886
15.7,7.9720989525935755,3.9775736634439656
