"time","tank1.h","tank2.Q1","tank2.h"
0,0,0,0
0.1,0.2,0,0
0.2,0.4,0,0
0.3,0.6,0,0
0.4,0.8,0,0
0.5,1,0,0
0.6,1.2,0,0
0.7,1.4,0,0
0.8,1.6,0,0
0.9,1.8,0,0
1,2,0,0
1.1,2.2,0,0
1.2,2.4,0,0
1.3,2.6,0,0
1.4,2.8,0,0
1.5,3,0,0
1.6,3.2,0,0
1.7,3.4,0,0
1.8,3.6,0,0
1.9,3.8,0,0
2,4,0,0
2.1,4.2,0,0
2.2,4.4,0,0
2.3,4.6,0,0
2.4,4.8,0,0
2.5,5,0,0
2.6,5.2,0,0
2.7,5.4,0,0
2.8,5.6,0,0
2.9,5.8,0,0
3,6,0,0
3.1,6.2,0,0
3.2,6.4,0,0
3.3,6.6,0,0
3.4,6.8,0,0
3.5,7,0,0
3.6,7.2,0,0
3.7,7.4,0,0
3.8,7.6,0,0
3.9,7.8,0,0
4,8,0,0
4.1,8.2,0,0
4.2,8.4,0,0
4.3,8.6,0,0
4.4,8.8,0,0
4.5,9,0,0
4.6,9.2,0,0
4.7,9.4,0,0
4.8,9.6,0,0
4.9,9.8,0,0
5,10,0,0
5.000000001000076,10.000000002000151,0,0
5.000000001000076,10.000000002000151,3.162277660484631,0
5.1,9.884687693481174,3.1439923176561955,0.3153123065188242
5.2,9.77119469286365,3.1258910238304294,0.6288053071363499
5.3,9.659503083082564,3.107974112357206,0.940496916917434
5.4,9.549594014130923,3.090241740403317,1.2504059858690768
5.5,9.441448892681587,3.0726940773011533,1.5585511073184106
5.6,9.33504921391816,3.055331277278809,1.8649507860818393
5.7,9.230376554439532,3.0381534777623616,2.169623445560466
5.8,9.12741244241689,3.0211607773200173,2.4725875575831076
5.9,9.026138289675922,3.0043532231873007,2.773861710324078
6,8.92653561828997,2.987730847698629,3.0734643817100267
6.1,8.82858592253208,2.971293644615436,3.371414077467918
6.2,8.732270695745886,2.9550415725918113,3.6677293042541126
6.3,8.637571445426065,2.938974556784401,3.962428554573934
6.4,8.544469704887508,2.9230924899646107,4.255530295112493
6.5,8.452946971634255,2.9073952210929725,4.547053028365745
6.6,8.36298475459663,2.891882562379847,4.837015245403368
6.7,8.274564562704962,2.8765542864171643,5.125435437295038
6.8,8.187668190985319,2.8614101752431997,5.412331809014683
6.9,8.102277206324969,2.846449930408924,5.697722793675035
7,8.018373094864971,2.831673197045339,5.981626905135031
7.1,7.935937422667315,2.8170795911133424,6.264062577332686
7.2,7.854951782945242,2.8026686894717403,6.545048217054761
7.3,7.775398877956609,2.788440223127727,6.8246011220433935
7.4,7.697259791619067,2.7743935898893413,7.102740208380936
7.5,7.620516209136438,2.7605282482047593,7.379483790863564
7.6,7.545149815712539,2.74684360962042,7.654850184287463
7.7,7.471142886590669,2.733339145914877,7.928857113409333
7.8,7.398478384336849,2.7200144088472857,8.201521615663154
7.9,7.32713739608921,2.7068685590713875,8.472862603910793
8,7.257101817526442,2.69390085517757,8.742898182473562
8.1,7.188353544327229,2.681110505803002,9.011646455672773
8.2,7.1208760363742325,2.668496962032041,9.279123963625768
8.3,7.054651645432278,2.6560594205386816,9.545348354567727
8.4,6.989661936705293,2.6437968788666977,9.81033806329471
8.5,6.925889072233747,2.63170839422489,10.074110927766254
8.6,6.863316304551868,2.6197931797284815,10.336683695448134
8.7,6.801927329285296,2.6080504844203642,10.598072670714705
8.8,6.741703674441427,2.596479091855243,10.858296325558578
8.9,6.682627844373718,2.58507791843374,11.117372155626287
9,6.6246842413846325,2.5738461961400554,11.37531575861537
9.1,6.5678563048171235,2.562782921906794,11.63214369518288
9.2,6.512126277628772,2.551886807369945,11.887873722371232
9.3,6.457477125037692,2.541156651022855,12.142522874962314
9.4,6.403893232878129,2.530591478859859,12.396106767121877
9.5,6.351357516614434,2.5201899762943336,12.648642483385572
9.6,6.29985302045596,2.5099508004054503,12.900146979544044
9.7,6.249364033534979,2.4998728034712046,13.150635966465023
9.8,6.199875632607591,2.4899549458991403,13.400124367392417
9.9,6.1513706365445415,2.4801956851314255,13.648629363455466
10,6.103832796329615,2.4705936121364873,13.896167203670391
10.1,6.057248291845553,2.4611477590436444,14.142751708154453
10.2,6.0116002783454086,2.4518564962789746,14.388399721654595
10.3,5.9668729133688325,2.4427183450755905,14.633127086631173
10.4,5.923052542212093,2.433732224837419,14.876947457787914
10.5,5.880123164088188,2.424896526470395,15.119876835911818
10.6,5.838069312308727,2.416209699572603,15.361930687691277
10.7,5.796877344426332,2.4076705223984307,15.603122655573669
10.8,5.756532046410372,2.3992774008876867,15.843467953589633
10.9,5.7170183052062225,2.3910287127523633,16.082981694793784
11,5.678322726483214,2.3829231474143713,16.32167727351679
11.1,5.640430784535294,2.3749591121817852,16.55956921546471
11.2,5.603327716937357,2.3671349173499503,16.796672283062644
11.3,5.56700045744944,2.359449185180609,17.03299954255056
11.4,5.531435191407105,2.3519003361977533,17.268564808592895
11.5,5.496617520740108,2.344486622000669,17.50338247925989
11.6,5.46253436303335,2.337206529820022,17.737465636966643
11.7,5.429172746556073,2.3300585285687725,17.97082725344392
11.8,5.396519162041465,2.3230409299109356,18.203480837958537
11.9,5.364560724483853,2.316152137594561,18.43543927551615
12,5.333284778255844,2.3093905642519292,18.666715221744155
12.1,5.302678652376332,2.3027545792759443,18.897321347623667
12.2,5.272729927993839,2.2962425673246805,19.12727007200616
12.3,5.243426277966008,2.2898528943943117,19.356573722033993
12.4,5.214755377772775,2.283583888928273,19.585244622227226
12.5,5.186705337564495,2.2774339370362635,19.813294662435503
12.6,5.159264322472967,2.2714014005615493,20.04073567752703
12.7,5.132420672186993,2.265484643997172,20.267579327813007
12.8,5.1061630752760525,2.2596820739378476,20.49383692472395
12.9,5.080480146597257,2.2539920467023076,20.719519853402744
13,5.055360754099495,2.2484129411875156,20.9446392459005
13.1,5.030793933700786,2.242943140987035,21.169206066299214
13.2,5.00676861548143,2.23758097406137,21.393231384518565
13.3,4.9832741541158505,2.2323248316756796,21.61672584588415
13.4,4.960300026793908,2.2271731021171,21.83969997320609
13.5,4.937835838906355,2.2221241727019567,22.062164161093644
13.6,4.915871490264633,2.217176468002634,22.284128509735364
13.7,4.894396996245886,2.2123284105769394,22.505603003754114
13.8,4.873402445062028,2.2075784119849575,22.726597554937975
13.9,4.8528781421187395,2.2029249061460856,22.94712185788126
14,4.832814462506156,2.1983663167238885,23.167185537493847
14.1,4.813201843535898,2.1939010560040986,23.3867981564641
14.2,4.794031100315947,2.1895275975232527,23.605968899684054
14.3,4.775293111269481,2.185244405385695,23.82470688873052
14.4,4.756978926288226,2.181049959603912,24.043021073711778
14.5,4.7390798544680175,2.1769427770311323,24.260920145531983
14.6,4.72158721984325,2.172921356110996,24.478412780156752
14.7,4.7044925581679555,2.1689842226645992,24.695507441832042
14.8,4.687787564599784,2.165129918642247,24.912212435400217
14.9,4.67146377358739,2.16135692878048,25.12853622641261
15,4.655513221833101,2.1576638342969696,25.344486778166893
15.1,4.639928000687834,2.1540492103681927,25.560071999312168
15.2,4.624700334274823,2.1505116447661528,25.77529966572518
15.3,4.609822615804688,2.1470497469329137,25.990177384195313
15.4,4.5952873737418924,2.1436621407632996,26.204712626258107
15.5,4.581087276602376,2.1403474663246564,26.41891272339763
15.6,4.567215147237759,2.1371043837954566,26.632784852762242
15.7,4.553663822529667,2.133931541200342,26.846336177470334
15.8,4.540426218078226,2.1308275899467386,27.059573781921777
15.9,4.527495608195706,2.1277912510854318,27.27250439180429
16,4.514865306457253,2.1248212410594105,27.485134693542744
16.1,4.502528762409621,2.12191629486406,27.69747123759038
16.2,4.4904795143237175,2.119075155421279,27.909520485676282
16.3,4.478711140911897,2.11629656260929,28.12128885908811
16.4,4.467217534019265,2.1135793181281994,28.33278246598073
16.5,4.455992642227526,2.1109222255278675,28.54400735777248
16.6,4.445030545024591,2.108324108154292,28.75496945497541
16.7,4.434325417938003,2.1057838013286174,28.965674582062
16.8,4.4238712908151925,2.103300095282457,29.17612870918482
16.9,4.413662729474651,2.100871897445118,29.386337270525356
17,4.403694265925152,2.0984980976701295,29.596305734074853
17.1,4.393960555313374,2.0961776058610524,29.806039444686636
17.2,4.384456375923899,2.0939093523655457,30.015543624076106
